sample	unfilt_bamfile	filtered_read_pairs	total_read_pairs	percent_filtered
PD53330a	PD53330a.sample.dupmarked.bam	5979819	86008139	6.95
PD53332a	PD53332a.sample.dupmarked.bam	6206740	79239039	7.83
PD53332c	PD53332c.sample.dupmarked.bam	7708616	93405459	8.25
PD53333a	PD53333a.sample.dupmarked.bam	6569383	95914982	6.85
PD53333c	PD53333c.sample.dupmarked.bam	7375583	79521350	9.27
PD53333d	PD53333d.sample.dupmarked_649894.bam	2836143	31261835	9.07
PD53333d	PD53333d.sample.dupmarked_649895.bam	2789202	31150873	8.95
PD53333d	PD53333d.sample.dupmarked_649896.bam	2808254	30445551	9.22
PD53333d	PD53333d.sample.dupmarked_649897.bam	2844157	30145779	9.43
PD53333e	PD53333e.sample.dupmarked.bam	9390720	84915993	11.06
PD53335a	PD53335a.sample.dupmarked.bam	7321088	98267827	7.45
PD53335c	PD53335c.sample.dupmarked.bam	7630162	76146142	10.02
PD53335d	PD53335d.sample.dupmarked.bam	10563765	73603541	14.35
PD53336a	PD53336a.sample.dupmarked.bam	5649720	95060946	5.94
PD53336c	PD53336c.sample.dupmarked_649910.bam	2504250	30673083	8.16
PD53336c	PD53336c.sample.dupmarked_649911.bam	2456761	30587810	8.03
PD53336c	PD53336c.sample.dupmarked_649912.bam	2480354	29794040	8.33
PD53336c	PD53336c.sample.dupmarked_649913.bam	2506832	29433627	8.52
PD53336d	PD53336d.sample.dupmarked.bam	8850757	98504047	8.99
PD53336e	PD53336e.sample.dupmarked.bam	7544168	99591113	7.58
PD53343a	PD53343a.sample.dupmarked.bam	6879496	83902697	8.2
PD53343c	PD53343c.sample.dupmarked.bam	7258277	108220120	6.71
PD53343d	PD53343d.sample.dupmarked_649922.bam	2789917	33776931	8.26
PD53343d	PD53343d.sample.dupmarked_649923.bam	2733218	33663881	8.12
PD53343d	PD53343d.sample.dupmarked_649924.bam	2744779	32644093	8.41
PD53343d	PD53343d.sample.dupmarked_649925.bam	2760707	32104736	8.6
PD53343e	PD53343e.sample.dupmarked.bam	8815613	109127513	8.08
PD53343f	PD53343f.sample.dupmarked.bam	8590688	77036688	11.15
PD53343g	PD53343g.sample.dupmarked.bam	9144604	92404777	9.9
PD53344a	PD53344a.sample.dupmarked.bam	4150365	68373463	6.07
PD53344c	PD53344c.sample.dupmarked.bam	5869755	99097291	5.92
PD53344d	PD53344d.sample.dupmarked.bam	12381623	54997287	22.51
PD53344e	PD53344e.sample.dupmarked.bam	8566103	77326300	11.08
PD53347a	PD53347a.sample.dupmarked.bam	5927294	72113520	8.22
PD53349a	PD53349a.sample.dupmarked.bam	6048517	91297953	6.63
PD53349c	PD53349c.sample.dupmarked.bam	6047723	93363128	6.48
PD53350a	PD53350a.sample.dupmarked.bam	8678257	85141642	10.19
PD53350c	PD53350c.sample.dupmarked.bam	7701454	103244489	7.46
PD53352a	PD53352a.sample.dupmarked.bam	7030079	87173086	8.06
PD53352c	PD53352c.sample.dupmarked.bam	6367344	88180196	7.22
PD53355a	PD53355a.sample.dupmarked.bam	7026400	89681791	7.83
PD53356a	PD53356a.sample.dupmarked.bam	4501582	51852334	8.68
PD53357a	PD53357a.sample.dupmarked.bam	5184834	85942406	6.03
PD53359a	PD53359a.sample.dupmarked.bam	5327088	80201458	6.64
PD53364a	PD53364a.sample.dupmarked.bam	7039323	81163463	8.67
