sample_a	sample_b	n	exact	compat	combn
PD53330a	PD53330b	95	0.9895	0.0105	1.0000
PD53330a	PD53330c	95	0.9895	0.0105	1.0000
PD53330a	PD53331a	95	0.3789	0.4526	0.8316
PD53330a	PD53331b	95	0.3789	0.4526	0.8316
PD53330a	PD53332a	94	0.4149	0.4043	0.8191
PD53330a	PD53332b	95	0.4211	0.4316	0.8526
PD53330a	PD53332c	94	0.4043	0.4149	0.8191
PD53330a	PD53332d	94	0.4255	0.4255	0.8511
PD53330a	PD53332e	92	0.4239	0.4348	0.8587
PD53330a	PD53333a	95	0.4000	0.5053	0.9053
PD53330a	PD53333b	94	0.3936	0.5213	0.9149
PD53330a	PD53333c	94	0.4043	0.5106	0.9149
PD53330a	PD53333d	94	0.3936	0.5106	0.9043
PD53330a	PD53333e	94	0.4043	0.5106	0.9149
PD53330a	PD53333f	93	0.3871	0.5269	0.9140
PD53330a	PD53334a	95	0.4000	0.4211	0.8211
PD53330a	PD53334b	95	0.4000	0.4211	0.8211
PD53330a	PD53335a	94	0.3830	0.4149	0.7979
PD53330a	PD53335b	95	0.3368	0.5474	0.8842
PD53330a	PD53335c	93	0.3763	0.4301	0.8065
PD53330a	PD53335d	95	0.3789	0.4316	0.8105
PD53330a	PD53335e	85	0.4000	0.4235	0.8235
PD53330a	PD53336a	95	0.4421	0.4526	0.8947
PD53330a	PD53336c	94	0.4362	0.4362	0.8723
PD53330a	PD53336d	94	0.4362	0.4362	0.8723
PD53330a	PD53336e	94	0.4362	0.4362	0.8723
PD53330a	PD53336f	93	0.4409	0.4624	0.9032
PD53330a	PD53336l	93	0.4409	0.4731	0.9140
PD53330a	PD53337a	95	0.4421	0.4526	0.8947
PD53330a	PD53337b	95	0.4421	0.4526	0.8947
PD53330a	PD53337c	95	0.4421	0.4526	0.8947
PD53330a	PD53338a	94	0.4043	0.3936	0.7979
PD53330a	PD53338b	95	0.4000	0.4105	0.8105
PD53330a	PD53339a	95	0.4947	0.4105	0.9053
PD53330a	PD53339b	95	0.4947	0.4105	0.9053
PD53330a	PD53340a	95	0.3895	0.4842	0.8737
PD53330a	PD53341a	93	0.3333	0.5484	0.8817
PD53330a	PD53341b	93	0.3333	0.5484	0.8817
PD53330a	PD53342a	95	0.4526	0.4947	0.9474
