sample	reads_total	reads_ok	reads_ok_ratio	duplicates	duplicate_ratio	mapped	mapped_ratio	paired	paired_ratio	chimeric	chimeric_ratio	on_bait	on_bait_ratio	clipped	clipped_ratio
PD53330a	173878600	121243207	0.6973	48938515	0.2815	119979547	0.9896	118569195	0.9779	617156	0.0051	81220326	0.6699	611620	0.0050
PD53330b	222796808	160359824	0.7198	58853668	0.2642	160228967	0.9992	158843574	0.9905	759988	0.0047	107985154	0.6734	747430	0.0047
PD53330c	165277430	124618307	0.7540	37623545	0.2276	124446354	0.9986	122918793	0.9864	776334	0.0062	79500297	0.6380	617612	0.0050
PD53331a	226642106	155692245	0.6870	67158042	0.2963	155540629	0.9990	154044098	0.9894	821034	0.0053	97320420	0.6251	739512	0.0047
PD53331b	177847903	136470763	0.7673	38074882	0.2141	136330755	0.9990	134990444	0.9892	754339	0.0055	90447401	0.6628	683885	0.0050
PD53332a	160078827	112662912	0.7038	44077575	0.2753	111548726	0.9901	110326165	0.9793	604758	0.0054	76667060	0.6805	572665	0.0051
PD53332b	188409963	144551014	0.7672	40506329	0.2150	144386256	0.9989	143091633	0.9899	710538	0.0049	97269002	0.6729	699962	0.0048
PD53332c	189041088	135410167	0.7163	49582873	0.2623	133678748	0.9872	131962814	0.9745	799471	0.0059	87836839	0.6487	702426	0.0052
PD53332d	218385273	154152490	0.7059	60199876	0.2757	153966883	0.9988	151944886	0.9857	1094867	0.0071	96835276	0.6282	776379	0.0050
PD53332e	219895421	160002867	0.7276	54205394	0.2465	159817906	0.9988	154528047	0.9658	3724814	0.0233	97811511	0.6113	1208943	0.0076
PD53333a	193120591	135446342	0.7014	54109423	0.2802	134928334	0.9962	133180127	0.9833	1038542	0.0077	95282695	0.7035	670343	0.0049
PD53333b	179832898	136874648	0.7611	39860736	0.2217	136730413	0.9989	135535789	0.9902	647413	0.0047	91032864	0.6651	661141	0.0048
PD53333c	161616910	116732860	0.7223	40728336	0.2520	114544272	0.9813	112715343	0.9656	774290	0.0066	75858383	0.6498	673728	0.0058
PD53333d	249341894	166873518	0.6693	76475579	0.3067	164501956	0.9858	161054388	0.9651	1824445	0.0109	110786692	0.6639	1006488	0.0060
PD53333e	172053309	125267514	0.7281	42416410	0.2465	124020845	0.9900	120851470	0.9647	1852724	0.0148	81227171	0.6484	803005	0.0064
PD53333f	204224559	139865506	0.6849	60543784	0.2965	139682674	0.9987	138054266	0.9871	977630	0.0070	93809138	0.6707	677531	0.0048
PD53334a	189455631	131500781	0.6941	54198369	0.2861	131262185	0.9982	129396461	0.9840	1062936	0.0081	88319039	0.6716	637259	0.0048
PD53334b	157216963	121417440	0.7723	33124626	0.2107	121302062	0.9990	120310504	0.9909	524320	0.0043	80683321	0.6645	575001	0.0047
PD53335a	198183809	140619837	0.7095	53497465	0.2699	140030722	0.9958	138298717	0.9835	984988	0.0070	96890639	0.6890	676825	0.0048
PD53335b	154809151	118345063	0.7645	33735299	0.2179	118216645	0.9989	117309816	0.9913	455389	0.0038	80060827	0.6765	550338	0.0047
PD53335c	155373895	110422582	0.7107	40574368	0.2611	107821072	0.9764	106279135	0.9625	637579	0.0058	69906500	0.6331	647452	0.0059
PD53335d	153409591	106152204	0.6920	40544582	0.2643	100127928	0.9432	98221996	0.9253	493762	0.0047	64431721	0.6070	813134	0.0077
PD53335e	179369194	131820067	0.7349	44208075	0.2465	131714300	0.9992	129967419	0.9859	1079085	0.0082	91122092	0.6913	657833	0.0050
PD53336a	191512797	138908167	0.7253	49138174	0.2566	138314371	0.9957	136733508	0.9843	917352	0.0066	94840027	0.6828	632711	0.0046
