sample	insert_mean	insert_sd	reads	mapped_pairs	proper_pairing	duplication	rmap_r1	rmap_r2	bmap_r1	bmap_r2	bdiv_r1	bdiv_r2	failed_r1	failed_r2	gc_r1	gc_r2
PD53330a	192.7589	66.4671	173076356	0.9747	0.9660	0.2894	0.9782	0.9709	-	-	-	-	0.0140	0.0195	-	-
PD53330b	189.4222	63.2759	221757460	0.9882	0.9810	0.2699	0.9898	0.9850	-	-	-	-	0.0098	0.0132	-	-
PD53330c	193.2927	64.8062	164483290	0.9859	0.9751	0.2336	0.9881	0.9812	-	-	-	-	0.0112	0.0161	-	-
PD53331a	191.0592	62.7454	225729030	0.9873	0.9793	0.3033	0.9892	0.9827	-	-	-	-	0.0103	0.0152	-	-
PD53331b	188.2371	60.6831	176933154	0.9866	0.9782	0.2197	0.9886	0.9816	-	-	-	-	0.0109	0.0161	-	-
PD53332a	184.3699	62.2052	159408510	0.9744	0.9663	0.2829	0.9777	0.9721	-	-	-	-	0.0147	0.0188	-	-
PD53332b	191.5182	63.3569	187528852	0.9865	0.9789	0.2204	0.9886	0.9821	-	-	-	-	0.0108	0.0155	-	-
PD53332c	178.0845	59.4660	188292500	0.9705	0.9607	0.2697	0.9743	0.9690	-	-	-	-	0.0157	0.0193	-	-
PD53332d	185.8419	59.9076	217296606	0.9858	0.9745	0.2827	0.9879	0.9819	-	-	-	-	0.0115	0.0156	-	-
PD53332e	175.2927	56.8298	217542230	0.9838	0.9536	0.2547	0.9861	0.9801	-	-	-	-	0.0133	0.0173	-	-
PD53333a	186.4167	63.0083	192224104	0.9834	0.9726	0.2872	0.9858	0.9792	-	-	-	-	0.0114	0.0163	-	-
PD53333b	189.1024	62.2207	179019940	0.9866	0.9792	0.2270	0.9885	0.9833	-	-	-	-	0.0110	0.0145	-	-
PD53333c	170.9501	52.4788	160926178	0.9610	0.9492	0.2603	0.9659	0.9596	-	-	-	-	0.0192	0.0238	-	-
PD53333d	176.1331	56.7707	248061582	0.9683	0.9515	0.3160	0.9724	0.9664	-	-	-	-	0.0168	0.0211	-	-
PD53333e	164.3382	51.2579	170875806	0.9721	0.9501	0.2546	0.9754	0.9699	-	-	-	-	0.0167	0.0206	-	-
PD53333f	189.3706	61.3323	203256038	0.9869	0.9772	0.3042	0.9892	0.9795	-	-	-	-	0.0102	0.0178	-	-
PD53334a	187.5020	61.2848	188554842	0.9851	0.9739	0.2941	0.9889	0.9758	-	-	-	-	0.0104	0.0199	-	-
PD53334b	192.5218	65.8948	156520168	0.9869	0.9800	0.2158	0.9886	0.9836	-	-	-	-	0.0109	0.0144	-	-
PD53335a	181.3825	60.5545	196991046	0.9821	0.9718	0.2773	0.9845	0.9784	-	-	-	-	0.0124	0.0168	-	-
PD53335b	190.3711	66.6794	154141594	0.9873	0.9810	0.2234	0.9893	0.9811	-	-	-	-	0.0102	0.0166	-	-
PD53335c	178.5367	60.7978	154547526	0.9551	0.9456	0.2704	0.9606	0.9549	-	-	-	-	0.0210	0.0250	-	-
PD53335d	183.7173	68.5001	152549720	0.9105	0.9009	0.2785	0.9215	0.9119	-	-	-	-	0.0346	0.0421	-	-
PD53335e	185.5811	60.3563	178232106	0.9875	0.9758	0.2526	0.9891	0.9839	-	-	-	-	0.0105	0.0143	-	-
PD53336a	189.4579	61.9431	190588232	0.9827	0.9732	0.2629	0.9850	0.9805	-	-	-	-	0.0118	0.0149	-	-
PD53336c	177.1699	59.0469	242560306	0.9738	0.9599	0.2967	0.9771	0.9712	-	-	-	-	0.0147	0.0190	-	-
PD53336d	178.9801	59.3537	198952354	0.9653	0.9516	0.2751	0.9697	0.9632	-	-	-	-	0.0178	0.0226	-	-
PD53336e	183.1028	62.4178	200361046	0.9757	0.9626	0.2456	0.9789	0.9731	-	-	-	-	0.0137	0.0178	-	-
PD53336f	182.8311	59.4959	187659374	0.9870	0.9789	0.2908	0.9889	0.9830	-	-	-	-	0.0104	0.0146	-	-
PD53337a	193.5750	64.8613	208203018	0.9866	0.9776	0.2859	0.9890	0.9791	-	-	-	-	0.0103	0.0180	-	-
PD53337b	190.3594	63.4098	185658518	0.9866	0.9790	0.2237	0.9886	0.9826	-	-	-	-	0.0106	0.0149	-	-
PD53337c	184.5007	60.3206	197460100	0.9869	0.9785	0.2807	0.9890	0.9819	-	-	-	-	0.0104	0.0157	-	-
PD53338a	188.4966	62.5447	189709530	0.9867	0.9785	0.2746	0.9886	0.9830	-	-	-	-	0.0107	0.0146	-	-
PD53338b	198.6656	65.8541	172021632	0.9874	0.9804	0.2215	0.9893	0.9832	-	-	-	-	0.0102	0.0146	-	-
PD53339a	191.7006	62.8644	168481870	0.9870	0.9795	0.2810	0.9891	0.9821	-	-	-	-	0.0103	0.0155	-	-
PD53339b	190.4387	61.8531	222680490	0.9865	0.9797	0.2504	0.9886	0.9809	-	-	-	-	0.0109	0.0166	-	-
PD53340a	187.4976	60.8828	165497450	0.9873	0.9788	0.2661	0.9892	0.9827	-	-	-	-	0.0103	0.0152	-	-
PD53341a	184.5169	59.8558	157006452	0.9867	0.9790	0.2591	0.9887	0.9826	-	-	-	-	0.0107	0.0150	-	-
PD53341b	192.3324	63.9136	179955274	0.9860	0.9780	0.2087	0.9882	0.9814	-	-	-	-	0.0111	0.0159	-	-
PD53342a	185.1163	61.0958	172128804	0.9876	0.9808	0.2654	0.9894	0.9839	-	-	-	-	0.0100	0.0139	-	-
PD53342b	187.4684	66.2848	238392990	0.9863	0.9802	0.2411	0.9884	0.9820	-	-	-	-	0.0108	0.0154	-	-
PD53343a	183.8901	63.6585	168460298	0.9783	0.9676	0.2584	0.9814	0.9743	-	-	-	-	0.0135	0.0187	-	-
PD53343b	191.6050	62.5143	281919174	0.9877	0.9815	0.2707	0.9893	0.9846	-	-	-	-	0.0102	0.0135	-	-
