sample	min_cov	min_prop	bin	pass	bases	mean	11+	21+	31+	41+	51+	61+	71+	81+	91+	101+	111+	121+	131+	141+	151+
PD53330a	20	80	31+	true	50337604	89.6438	98.1900	93.5300	86.1100	77.4000	68.5400	59.8800	51.6500	44.0500	37.2800	31.3900	26.3200	22.0100	18.4200	15.4800	13.0700
PD53330b	20	80	51+	true	50337604	118.6123	99.2200	97.6700	94.5200	89.7900	84.0800	77.9400	71.6600	65.3800	59.1400	53.0300	47.1600	41.5800	36.4000	31.6400	27.3300
PD53330c	20	80	31+	true	50337604	87.8091	98.3100	93.5900	86.1000	77.4800	68.6000	59.8200	51.4600	43.7500	36.8600	30.8600	25.7400	21.4500	17.8800	14.9200	12.5100
PD53331a	20	80	41+	true	50337604	107.3280	99.0600	96.8400	92.6400	86.6700	79.5800	72.1300	64.7700	57.7100	51.1000	44.9500	39.3200	34.2200	29.6300	25.5400	21.9200
PD53331b	20	80	41+	true	50337604	99.7581	99.0500	96.3500	91.3500	84.7400	77.4500	70	62.5900	55.3400	48.3700	41.8200	35.7800	30.3700	25.5700	21.3900	17.7900
PD53332a	20	80	31+	true	50337604	83.6612	97.5000	91.4300	82.8600	73.3500	63.8600	55.0700	47.2100	40.3000	34.3000	29.1200	24.6700	20.8300	17.5600	14.7700	12.4000
PD53332b	20	80	51+	true	50337604	107.3818	99.1100	97.1400	93.1500	87.4100	80.7800	73.8200	66.8600	59.9700	53.2300	46.7500	40.6800	35.0800	30.0100	25.5000	21.5300
PD53332c	20	80	31+	true	50337604	95.3769	97.8900	92.6600	85.2500	76.9200	68.4600	60.3900	52.9200	46.2000	40.2200	34.9500	30.3300	26.2800	22.7600	19.7200	17.0900
PD53332d	20	80	41+	true	50337604	106.1807	98.7900	95.6400	90.4000	83.8600	76.6700	69.3500	62.1300	55.2200	48.7300	42.7300	37.2700	32.3900	28.0500	24.2200	20.8700
PD53332e	20	80	41+	true	50337604	105.5928	99.1100	96.6800	91.9500	85.7000	78.8100	71.7400	64.6500	57.6800	50.9300	44.5700	38.6700	33.2800	28.4700	24.2400	20.5500
PD53333a	20	80	41+	true	50337604	104.5855	98.8100	95.8400	90.5700	83.8000	76.3500	68.8200	61.4300	54.3100	47.5700	41.3300	35.6000	30.4500	25.8800	21.8700	18.4100
PD53333b	20	80	41+	true	50337604	100.1553	99.0100	96.7200	92.1800	85.7500	78.3800	70.7900	63.2500	55.9300	48.8700	42.2400	36.1400	30.6500	25.7400	21.4600	17.7800
PD53333c	20	80	31+	true	50337604	82.7038	97.9100	92.3000	83.9200	74.5000	65.0400	56.0500	47.6900	40.1400	33.5100	27.7500	22.8300	18.6800	15.2300	12.3700	10.0400
