sample	completed	reads	instrument	baitset	pipeline	n_runs	runs	loading_conc	readlen	insert	map_rate	adapter_f_rate	adapter_r_rate	gc_f_rate	gc_r_rate	mismatch_f_rate	mismatch_r_rate	tag_rate	chimeric_rate	duplicate_rate	on_bait_rate	genotype_depth
PD53330a	2021-11-03 17:39:07	173076356	NovaSeq	Human all exon V5	Agilent Pulldown	4	41760	240	100+100	100-400	0.9913	0.0008	0.0008	0.4869	0.4865	0.0055	0.0065	0.0070	0.0049	0.1408	0.5931	37.7875
PD53330b	2021-11-03 17:39:07	221757460	NovaSeq	Human all exon V5	Agilent Pulldown	4	41760	240	100+100	100-400	0.9989	0.0008	0.0008	0.4877	0.4872	0.0056	0.0060	0.0090	0.0046	0.1444	0.5934	43.8301
PD53330c	2021-11-03 17:39:07	164483290	NovaSeq	Human all exon V5	Agilent Pulldown	4	41760	240	100+100	100-400	0.9983	0.0006	0.0006	0.4884	0.4886	0.0053	0.0060	0.0070	0.0062	0.1133	0.5621	34.7783
PD53331a	2021-11-03 17:39:07	225729030	NovaSeq	Human all exon V5	Agilent Pulldown	4	41760	240	100+100	100-400	0.9987	0.0008	0.0008	0.4769	0.4766	0.0053	0.0058	0.0100	0.0050	0.1546	0.5550	44.7657
PD53331b	2021-11-03 17:39:07	176933154	NovaSeq	Human all exon V5	Agilent Pulldown	4	41760	240	100+100	100-400	0.9986	0.0008	0.0008	0.4891	0.4889	0.0056	0.0062	0.0075	0.0055	0.1139	0.5822	36.3137
PD53332a	2021-11-03 17:39:07	159408510	NovaSeq	Human all exon V5	Agilent Pulldown	4	41760	240	100+100	100-400	0.9916	0.0011	0.0011	0.4869	0.4863	0.0063	0.0069	0.0070	0.0052	0.1402	0.6024	31.9526
PD53332b	2021-11-03 17:39:07	187528852	NovaSeq	Human all exon V5	Agilent Pulldown	4	41760	240	100+100	100-400	0.9985	0.0009	0.0009	0.4874	0.4873	0.0058	0.0063	0.0080	0.0048	0.1141	0.5916	37.9618
PD53332c	2021-11-03 17:39:07	188292500	NovaSeq	Human all exon V5	Agilent Pulldown	4	41760	240	100+100	100-400	0.9892	0.0012	0.0012	0.4926	0.4922	0.0067	0.0070	0.0080	0.0058	0.1310	0.5744	38.2762
PD53332d	2021-11-03 17:39:07	217296606	NovaSeq	Human all exon V5	Agilent Pulldown	4	41760	240	100+100	100-400	0.9985	0.0007	0.0008	0.4910	0.4906	0.0060	0.0064	0.0090	0.0069	0.1395	0.5555	41.2591
PD53332e	2021-11-03 17:39:07	217542230	NovaSeq	Human all exon V5	Agilent Pulldown	4	41760	240	100+100	100-400	0.9984	0.0029	0.0031	0.4932	0.4928	0.0086	0.0095	0.0090	0.0228	0.1254	0.5360	39.3321
PD53333a	2021-11-03 17:39:07	192224104	NovaSeq	Human all exon V5	Agilent Pulldown	4	41760	240	100+100	100-400	0.9964	0.0012	0.0012	0.4921	0.4915	0.0059	0.0065	0.0080	0.0074	0.1434	0.6201	38.3235
PD53333b	2021-11-03 17:39:07	179019940	NovaSeq	Human all exon V5	Agilent Pulldown	4	41760	240	100+100	100-400	0.9986	0.0009	0.0009	0.4850	0.4850	0.0058	0.0059	0.0080	0.0047	0.1185	0.5848	36.3797
PD53333c	2021-11-03 17:39:07	160926178	NovaSeq	Human all exon V5	Agilent Pulldown	4	41760	240	100+100	100-400	0.9843	0.0011	0.0012	0.4909	0.4905	0.0068	0.0073	0.0070	0.0066	0.1314	0.5735	31.5118
PD53333d	2021-11-03 17:39:07	248061582	NovaSeq	Human all exon V5	Agilent Pulldown	4	41760	240	100+100	100-400	0.9884	0.0018	0.0018	0.5012	0.5005	0.0069	0.0072	0.0105	0.0105	0.1627	0.5862	46.3950
PD53333e	2021-11-03 17:39:07	170875806	NovaSeq	Human all exon V5	Agilent Pulldown	4	41760	240	100+100	100-400	0.9913	0.0033	0.0033	0.5051	0.5046	0.0084	0.0088	0.0070	0.0145	0.1256	0.5673	33.8324
PD53333f	2021-11-03 17:39:07	203256038	NovaSeq	Human all exon V5	Agilent Pulldown	4	41760	240	100+100	100-400	0.9983	0.0007	0.0008	0.4904	0.4896	0.0052	0.0064	0.0090	0.0067	0.1472	0.5925	38.2893
PD53334a	2021-11-03 17:39:07	188554842	NovaSeq	Human all exon V5	Agilent Pulldown	4	41760	240	100+100	100-400	0.9975	0.0007	0.0008	0.4921	0.4912	0.0057	0.0070	0.0080	0.0074	0.1434	0.5917	35.6259
PD53334b	2021-11-03 17:39:07	156520168	NovaSeq	Human all exon V5	Agilent Pulldown	4	41760	240	100+100	100-400	0.9988	0.0008	0.0009	0.4861	0.4861	0.0057	0.0062	0.0070	0.0042	0.1079	0.5853	33.5927
PD53335a	2021-11-03 17:39:07	196991046	NovaSeq	Human all exon V5	Agilent Pulldown	4	41760	240	100+100	100-400	0.9961	0.0014	0.0015	0.4958	0.4956	0.0064	0.0069	0.0080	0.0068	0.1378	0.6039	36.6282
PD53335b	2021-11-03 17:39:07	154141594	NovaSeq	Human all exon V5	Agilent Pulldown	4	41760	240	100+100	100-400	0.9986	0.0011	0.0011	0.4888	0.4880	0.0062	0.0070	0.0070	0.0037	0.1148	0.5964	32.1765
PD53335c	2021-11-03 17:39:07	154547526	NovaSeq	Human all exon V5	Agilent Pulldown	4	41760	240	100+100	100-400	0.9807	0.0011	0.0011	0.4830	0.4828	0.0068	0.0074	0.0070	0.0058	0.1309	0.5610	31.8057
PD53335d	2021-11-03 17:39:07	152549720	NovaSeq	Human all exon V5	Agilent Pulldown	4	41760	240	100+100	100-400	0.9550	0.0009	0.0009	0.4870	0.4864	0.0082	0.0094	0.0063	0.0048	0.1375	0.5454	26.7963
PD53335e	2021-11-03 17:39:07	178232106	NovaSeq	Human all exon V5	Agilent Pulldown	4	41760	240	100+100	100-400	0.9989	0.0008	0.0009	0.4989	0.4985	0.0059	0.0064	0.0078	0.0080	0.1199	0.6045	33.9772
PD53336a	2021-11-03 17:39:07	190588232	NovaSeq	Human all exon V5	Agilent Pulldown	4	41760	240	100+100	100-400	0.9960	0.0008	0.0009	0.4890	0.4885	0.0054	0.0059	0.0080	0.0065	0.1266	0.6013	39.1823
PD53336c	2021-11-03 17:39:07	242560306	NovaSeq	Human all exon V5	Agilent Pulldown	4	41760	240	100+100	100-400	0.9909	0.0013	0.0013	0.4969	0.4963	0.0067	0.0072	0.0100	0.0086	0.1457	0.5565	45.1437
