sample	PDID	type	reads_total	reads_ok	duplicates	mapped	paired	chimeric	clipped	coverage
PD53330a	P53369	tumour	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS
PD53330b	P53369	normal	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS
PD53330c	P53369	tumour	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS
PD53331a	P53369	tumour	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS
PD53331b	P53369	normal	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS
PD53332a	P53369	tumour	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS
PD53332b	P53369	normal	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS
PD53332c	P53369	tumour	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS
PD53332d	P53369	tumour	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS
PD53332e	P53369	tumour	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS
PD53333a	P53369	tumour	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS
PD53333b	P53369	normal	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS
PD53333c	P53369	tumour	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS
PD53333d	P53369	tumour	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS
PD53333e	P53369	tumour	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS
PD53333f	P53369	tumour	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS
PD53334a	P53369	tumour	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS
PD53334b	P53369	normal	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS
PD53335a	P53369	tumour	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS
PD53335b	P53369	normal	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS
PD53335c	P53369	tumour	PASS	PASS	PASS	FLAG	PASS	PASS	PASS	PASS
PD53335d	P53369	tumour	PASS	PASS	PASS	FLAG	FLAG	PASS	PASS	PASS
PD53335e	P53369	tumour	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS
PD53336a	P53369	tumour	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS
PD53336c	P53369	tumour	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS
PD53336d	P53369	tumour	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS
PD53336e	P53369	tumour	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS
PD53336f	P53369	tumour	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS
PD53337a	P53369	tumour	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS
PD53337b	P53369	normal	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS
PD53337c	P53369	tumour	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS
PD53338a	P53369	tumour	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS
PD53338b	P53369	normal	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS
PD53339a	P53369	tumour	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS
PD53339b	P53369	normal	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS
PD53340a	P53369	tumour	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS
PD53341a	P53369	tumour	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS
PD53341b	P53369	normal	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS
PD53342a	P53369	tumour	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS
PD53342b	P53369	normal	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS
PD53343a	P53369	tumour	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS
PD53343b	P53369	normal	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS
PD53343c	P53369	tumour	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS
PD53343d	P53369	tumour	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS
PD53343e	P53369	tumour	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS
PD53343f	P53369	tumour	PASS	PASS	PASS	FLAG	PASS	PASS	PASS	PASS
PD53343g	P53369	tumour	PASS	PASS	PASS	FLAG	PASS	PASS	PASS	PASS
PD53343h	P53369	tumour	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS
PD53343i	P53369	tumour	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS
PD53344a	P53369	tumour	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS
PD53344c	P53369	tumour	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS
PD53344d	P53369	tumour	PASS	PASS	PASS	FLAG	FLAG	PASS	PASS	FAIL
PD53344e	P53369	tumour	PASS	PASS	PASS	FLAG	PASS	PASS	PASS	PASS
PD53344f	P53369	tumour	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS
PD53345a	P53369	tumour	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS
PD53345b	P53369	normal	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS
PD53346a	P53369	tumour	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS
PD53346b	P53369	normal	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS
PD53347a	P53369	tumour	PASS	PASS	PASS	FLAG	PASS	PASS	PASS	PASS
PD53347b	P53369	normal	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS
PD53347c	P53369	tumour	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS
PD53348a	P53369	tumour	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS
PD53348b	P53369	normal	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS
PD53349a	P53369	tumour	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS
PD53349b	P53369	normal	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS
PD53349c	P53369	tumour	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS
PD53349d	P53369	tumour	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS
PD53349e	P53369	tumour	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS
PD53350a	P53369	tumour	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS
PD53350b	P53369	normal	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS
PD53350c	P53369	tumour	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS
PD53350d	P53369	tumour	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS
PD53350e	P53369	tumour	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS
PD53351a	P53369	tumour	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS
PD53351b	P53369	normal	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS
PD53352a	P53369	tumour	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS
PD53352b	P53369	normal	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS
PD53352c	P53369	tumour	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS
PD53352d	P53369	tumour	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS
PD53352e	P53369	tumour	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS
PD53353a	P53369	tumour	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS
PD53353b	P53369	normal	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS
PD53354a	P53369	tumour	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS
PD53354b	P53369	normal	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS
PD53355a	P53369	tumour	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS
PD53355b	P53369	normal	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS
PD53355c	P53369	tumour	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS
PD53356a	P53369	tumour	PASS	PASS	PASS	FLAG	PASS	PASS	PASS	PASS
PD53356c	P53369	tumour	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS
PD53357a	P53369	tumour	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS
PD53357b	P53369	normal	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS
PD53357c	P53369	tumour	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS
PD53357d	P53369	tumour	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS
PD53357e	P53369	tumour	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS
PD53358a	P53369	tumour	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS
PD53358b	P53369	normal	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS
PD53359a	P53369	tumour	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS
