sample	TiTv_class	TiTv_meCA	fracH	oxoGHbias	symGT_CA	sym_ct_ga	sym_ag_tc	cvTi	GT_Ti	GT_meTi	level	art_oxH	predict
PD53330a	1.5800	2.1750	0.2050	0.0475	0.0525	0.0675	0.0125	0.0350	0.6100	0.5900	-1	0.5950	0
PD53330b	1.4300	2.1325	0.1975	0.2350	0.2350	0.1000	0.0250	0.0550	0.8125	0.7575	-1	0.7900	0.2500
PD53330c	1.4450	2.1525	0.1775	0.1225	0.1225	0.0900	0.0150	0.0450	0.7525	0.7175	-1	0.7425	0
PD53331a	1.5025	2.1800	0.1775	0.0800	0.0800	0.0850	0.0225	0.0450	0.6975	0.6550	-1	0.6875	0
PD53331b	1.4300	2.1075	0.1825	0.1150	0.1150	0.1000	0.0225	0.0525	0.7725	0.7150	-1	0.7500	0
PD53332a	1.6375	2.1700	0.2200	0.1225	0.1225	0.0675	0.0200	0.0325	0.5875	0.5375	-1	0.5800	0
PD53332b	1.5050	2.1400	0.1950	0.0950	0.0950	0.0850	0.0200	0.0450	0.6900	0.6425	-1	0.6750	0
PD53332c	1.6375	2.1650	0.2275	0.0450	0.0450	0.0500	0.0300	0.0300	0.5650	0.5350	-1	0.5550	0
PD53332d	1.5050	2.1450	0.1925	0.1475	0.1475	0.0925	0.0200	0.0500	0.7000	0.6650	-1	0.6900	0
PD53332e	1.6450	2.1375	0.2125	0.1900	0.2350	0.0700	0.0350	0.0600	0.5900	0.5350	-1	0.5800	0
PD53333a	1.4975	2.1875	0.1975	0.1975	0.1975	0.0850	0.0125	0.0500	0.7550	0.6950	-1	0.7325	0
PD53333b	1.4450	2.1300	0.1875	0.1100	0.1100	0.1025	0.0200	0.0525	0.7450	0.6975	-1	0.7275	0
PD53333c	1.6875	2.1525	0.2375	0.0750	0.0750	0.0400	0.0100	0.0200	0.5300	0.5050	-1	0.5250	0
PD53333d	1.6400	2.1400	0.2325	0.1075	0.1075	0.0325	0.0175	0.0375	0.5825	0.5450	-1	0.5650	0
PD53333e	1.5650	2.0975	0.2275	0.1375	0.1375	0.0500	0.0275	0.0325	0.6325	0.5950	-1	0.6150	0
PD53333f	1.4325	2.1525	0.1725	0.0775	0.0775	0.0850	0.0300	0.0500	0.7825	0.7100	-1	0.7575	0
PD53334a	1.4750	2.1400	0.1750	0.1050	0.1050	0.0875	0.0250	0.0500	0.7425	0.6650	-1	0.7250	0
PD53334b	1.4850	2.1225	0.1925	0.0975	0.0975	0.0925	0.0225	0.0500	0.6950	0.6550	-1	0.6850	0
PD53335a	1.4975	2.1425	0.2025	0.3225	0.3225	0.1000	0.0150	0.0500	0.7575	0.7025	-1	0.7425	0
PD53335b	1.5075	2.1525	0.1825	0.0575	0.0600	0.0925	0.0300	0.0500	0.6875	0.6375	-1	0.6725	0
PD53335c	1.7125	2.1425	0.2525	0.0750	0.0750	0.0525	0.0075	0.0300	0.5025	0.4725	-1	0.4950	0
PD53335d	1.8250	2.1300	0.2875	0.1300	0.1300	0.0300	0.0025	0.0200	0.4350	0.4100	-1	0.4275	0
PD53335e	1.5125	2.1850	0.2025	0.0350	0.0350	0.0800	0.0225	0.0500	0.6850	0.6425	-1	0.6600	0
PD53336a	1.4575	2.1625	0.1975	0.1675	0.1675	0.0825	0.0175	0.0425	0.7675	0.7225	-1	0.7500	0
PD53336c	1.5525	2.1175	0.2175	0.0975	0.0975	0.0350	0.0200	0.0400	0.6425	0.6050	-1	0.6225	0
PD53336d	1.6075	2.1275	0.2275	0.1050	0.1050	0.0575	0.0100	0.0400	0.5950	0.5575	-1	0.5850	0
PD53336e	1.5525	2.1150	0.2025	0.0525	0.0525	0.0400	0.0200	0.0300	0.6225	0.5850	-1	0.6100	0
PD53336f	1.3875	2.1550	0.1875	0.1850	0.1850	0.1100	0.0275	0.0625	0.8675	0.7950	-1	0.8375	1
PD53337a	1.4850	2.1525	0.1675	0.0675	0.0725	0.0800	0.0150	0.0425	0.7100	0.6800	-1	0.6900	0
PD53337b	1.4225	2.1475	0.1850	0.1675	0.1675	0.1050	0.0200	0.0575	0.8100	0.7550	-1	0.7900	0.2500
PD53337c	1.4525	2.1275	0.1775	0.0475	0.0475	0.0800	0.0250	0.0500	0.7325	0.6800	-1	0.7100	0
PD53338a	1.5050	2.1450	0.1925	0.0350	0.0350	0.0700	0.0200	0.0375	0.6575	0.6400	-1	0.6500	0
PD53338b	1.5050	2.1725	0.1925	0.0825	0.0825	0.0825	0.0150	0.0425	0.7000	0.6600	-1	0.6850	0
PD53339a	1.5375	2.2000	0.1775	0.0900	0.0900	0.0800	0.0125	0.0400	0.6750	0.6250	-1	0.6650	0
