sample	sample_supplier_name	sample_donor_id	sample_accession_number	study_accession_number	sample_common_name	md5	id_run	lane	is_paired_read	tag_index	library_id	total_reads	study_id	study_title	reference	library_type	cram	cram_irods_location	ca_metrics_file	art_oxH
6590STDY10735008	PD53330a	PD53330a	NA	EGAS00001005663	Homo sapiens	edf28b4ae47bb120c958936168ca5cf5	41760	1	1	2	23446185	44707156	6633	PDX models from Latin America_WES 	/lustre/scratch120/npg_repository/references/Homo_sapiens/GRCh38_full_analysis_set_plus_decoy_hla/all/bwa0_6/Homo_sapiens.GRCh38_full_analysis_set_plus_decoy_hla.fa	Agilent Pulldown	41760_1#2.cram	/seq/illumina/runs/41/41760/lane1/plex2/41760_1#2.cram	/seq/illumina/runs/41/41760/lane1/plex2/41760_1#2.substitution_metrics.txt	0.59
6590STDY10735008	PD53330a	PD53330a	NA	EGAS00001005663	Homo sapiens	65cb2e249b23b17af0453ea4c97746cc	41760	2	1	2	23446185	44339408	6633	PDX models from Latin America_WES 	/lustre/scratch120/npg_repository/references/Homo_sapiens/GRCh38_full_analysis_set_plus_decoy_hla/all/bwa0_6/Homo_sapiens.GRCh38_full_analysis_set_plus_decoy_hla.fa	Agilent Pulldown	41760_2#2.cram	/seq/illumina/runs/41/41760/lane2/plex2/41760_2#2.cram	/seq/illumina/runs/41/41760/lane2/plex2/41760_2#2.substitution_metrics.txt	0.59
6590STDY10735008	PD53330a	PD53330a	NA	EGAS00001005663	Homo sapiens	48d4155344d3eb05d97b0ae11b09f2eb	41760	3	1	2	23446185	42565170	6633	PDX models from Latin America_WES 	/lustre/scratch120/npg_repository/references/Homo_sapiens/GRCh38_full_analysis_set_plus_decoy_hla/all/bwa0_6/Homo_sapiens.GRCh38_full_analysis_set_plus_decoy_hla.fa	Agilent Pulldown	41760_3#2.cram	/seq/illumina/runs/41/41760/lane3/plex2/41760_3#2.cram	/seq/illumina/runs/41/41760/lane3/plex2/41760_3#2.substitution_metrics.txt	0.6
6590STDY10735008	PD53330a	PD53330a	NA	EGAS00001005663	Homo sapiens	b8206dc970daddba6ce08401d5893130	41760	4	1	2	23446185	41464622	6633	PDX models from Latin America_WES 	/lustre/scratch120/npg_repository/references/Homo_sapiens/GRCh38_full_analysis_set_plus_decoy_hla/all/bwa0_6/Homo_sapiens.GRCh38_full_analysis_set_plus_decoy_hla.fa	Agilent Pulldown	41760_4#2.cram	/seq/illumina/runs/41/41760/lane4/plex2/41760_4#2.cram	/seq/illumina/runs/41/41760/lane4/plex2/41760_4#2.substitution_metrics.txt	0.6
6590STDY10735092	PD53330b	PD53330b	NA	EGAS00001005663	Homo sapiens	717f4cfd4ccd5e11355235a64894e99e	41760	1	1	41	50889439	56403854	6633	PDX models from Latin America_WES 	/lustre/scratch120/npg_repository/references/Homo_sapiens/GRCh38_full_analysis_set_plus_decoy_hla/all/bwa0_6/Homo_sapiens.GRCh38_full_analysis_set_plus_decoy_hla.fa	Agilent Pulldown	41760_1#41.cram	/seq/illumina/runs/41/41760/lane1/plex41/41760_1#41.cram	/seq/illumina/runs/41/41760/lane1/plex41/41760_1#41.substitution_metrics.txt	0.78
6590STDY10735092	PD53330b	PD53330b	NA	EGAS00001005663	Homo sapiens	3df62db77f06527a23ebb6934bb520ce	41760	2	1	41	50889439	56239466	6633	PDX models from Latin America_WES 	/lustre/scratch120/npg_repository/references/Homo_sapiens/GRCh38_full_analysis_set_plus_decoy_hla/all/bwa0_6/Homo_sapiens.GRCh38_full_analysis_set_plus_decoy_hla.fa	Agilent Pulldown	41760_2#41.cram	/seq/illumina/runs/41/41760/lane2/plex41/41760_2#41.cram	/seq/illumina/runs/41/41760/lane2/plex41/41760_2#41.substitution_metrics.txt	0.78
6590STDY10735092	PD53330b	PD53330b	NA	EGAS00001005663	Homo sapiens	2b84b43e55ae62eafaea368f8b1dfe9b	41760	3	1	41	50889439	54977052	6633	PDX models from Latin America_WES 	/lustre/scratch120/npg_repository/references/Homo_sapiens/GRCh38_full_analysis_set_plus_decoy_hla/all/bwa0_6/Homo_sapiens.GRCh38_full_analysis_set_plus_decoy_hla.fa	Agilent Pulldown	41760_3#41.cram	/seq/illumina/runs/41/41760/lane3/plex41/41760_3#41.cram	/seq/illumina/runs/41/41760/lane3/plex41/41760_3#41.substitution_metrics.txt	0.8
6590STDY10735092	PD53330b	PD53330b	NA	EGAS00001005663	Homo sapiens	5b8391393ba64c260d3205454c84297c	41760	4	1	41	50889439	54137088	6633	PDX models from Latin America_WES 	/lustre/scratch120/npg_repository/references/Homo_sapiens/GRCh38_full_analysis_set_plus_decoy_hla/all/bwa0_6/Homo_sapiens.GRCh38_full_analysis_set_plus_decoy_hla.fa	Agilent Pulldown	41760_4#41.cram	/seq/illumina/runs/41/41760/lane4/plex41/41760_4#41.cram	/seq/illumina/runs/41/41760/lane4/plex41/41760_4#41.substitution_metrics.txt	0.8
6590STDY10735044	PD53330c	PD53330c	NA	EGAS00001005663	Homo sapiens	2ef3d868c9b1379fcd8371d2b0b5035c	41760	1	1	74	23446237	41984178	6633	PDX models from Latin America_WES 	/lustre/scratch120/npg_repository/references/Homo_sapiens/GRCh38_full_analysis_set_plus_decoy_hla/all/bwa0_6/Homo_sapiens.GRCh38_full_analysis_set_plus_decoy_hla.fa	Agilent Pulldown	41760_1#74.cram	/seq/illumina/runs/41/41760/lane1/plex74/41760_1#74.cram	/seq/illumina/runs/41/41760/lane1/plex74/41760_1#74.substitution_metrics.txt	0.73
6590STDY10735044	PD53330c	PD53330c	NA	EGAS00001005663	Homo sapiens	13d79870e36fd932e520c7d0cb0f2a5c	41760	2	1	74	23446237	42077522	6633	PDX models from Latin America_WES 	/lustre/scratch120/npg_repository/references/Homo_sapiens/GRCh38_full_analysis_set_plus_decoy_hla/all/bwa0_6/Homo_sapiens.GRCh38_full_analysis_set_plus_decoy_hla.fa	Agilent Pulldown	41760_2#74.cram	/seq/illumina/runs/41/41760/lane2/plex74/41760_2#74.cram	/seq/illumina/runs/41/41760/lane2/plex74/41760_2#74.substitution_metrics.txt	0.73
